Firm@To Grade@From Grade@Action
Cantor Fitzgerald@Buy@@init
Cantor Fitzgerald@Buy@@init
ISI Group@Hold@@main
Deutsche Bank@Hold@@init
McNicoll Lewis Vlak@Hold@@init
Deutsche Bank@Hold@@main
ISI Group@Buy@Hold@up
McNicoll Lewis Vlak@Hold@@main
Goldman Sachs@Buy@@main
SunTrust Robinson Humphrey@Neutral@@init
Goldman Sachs@Buy@@main
Nomura@Buy@@main
JP Morgan@Neutral@Overweight@down
Keefe Bruyette & Woods@Market Perform@Outperform@down
Citigroup@Buy@@main
ISI Group@Hold@Buy@down
McNicoll Lewis Vlak@Hold@@main
ISI Group@Hold@Buy@down
UBS@Neutral@Buy@down
UBS@Neutral@Buy@down
Barclays@Equal-Weight@@main
Goldman Sachs@Neutral@Buy@down
Jefferies@Hold@@init
SunTrust Robinson Humphrey@Buy@Neutral@up
Cantor Fitzgerald@Buy@@main
BMO Capital@Market Perform@@init
JP Morgan@Neutral@@main
Nomura@Buy@@main
BMO Capital@Market Perform@@main
Goldman Sachs@Neutral@@main
Macquarie@Outperform@@init
Credit Suisse@Outperform@@main
Evercore Partners@Overweight@@init
ISI Group@Buy@Neutral@up
Oddo Securities@Neutral@Reduce@up
UBS@Buy@Neutral@up
Morgan Stanley@Equal-Weight@@init
Nomura@Buy@@main
Nomura@Buy@@main
Bank of America@Buy@@main
JP Morgan@Overweight@@up
Morgan Stanley@Overweight@Equal-weight@up
Barclays@Overweight@Equal-Weight@up
Nomura@Buy@@main
Raymond James@Outperform@Market Perform@up
Macquarie@Outperform@@main
Credit Suisse@Outperform@@main
SunTrust Robinson Humphrey@Neutral@Buy@down
JMP Securities@Market Outperform@@main
FBR Capital@Outperform@@main
Raymond James@Outperform@@main
Morgan Stanley@Equal-Weight@Overweight@down
Macquarie@Neutral@Outperform@down
JP Morgan@Overweight@@main
Deutsche Bank@Hold@@main
Jefferies@Market Outperform@@main
Barclays@Overweight@@main
Raymond James@Outperform@@main
SunTrust Robinson Humphrey@Neutral@@main
JP Morgan@Overweight@@main
FBR Capital@Outperform@@main
Citigroup@Buy@@main
MKM Partners@Neutral@@main
JMP Securities@Market Outperform@@main
UBS@Neutral@Buy@down
Citigroup@Buy@@main
Evercore ISI Group@Hold@@init
Baird@Neutral@Outperform@down
JMP Securities@Market Outperform@@main
JP Morgan@Overweight@@main
RBC Capital@Outperform@@init
MKM Partners@Buy@Neutral@up
Barclays@Overweight@@main
Brean Capital@Hold@@init
Canaccord Genuity@Hold@@init
Evercore ISI Group@Buy@Hold@up
Barclays@Equal-Weight@Overweight@down
Evercore ISI Group@Buy@@main
SunTrust Robinson Humphrey@Buy@Neutral@up
Evercore ISI Group@Hold@Buy@down
Susquehanna@Positive@@main
Canaccord Genuity@Buy@Hold@up
Berenberg@Buy@@init
Barclays@Equal-Weight@@main
Telsey Advisory Group@Market Perform@@init
MKM Partners@Neutral@Buy@down
Wells Fargo@Market Perform@Outperform@down
Jefferies@Underperform@@main
Barclays@Equal-Weight@@main
Canaccord Genuity@Buy@@main
Raymond James@Market Perform@Outperform@down
Evercore ISI Group@Buy@Hold@up
Morgan Stanley@Equal-Weight@@main
Citigroup@Buy@@main
Bernstein@Outperform@@init
Barclays@Equal-Weight@@main
Goldman Sachs@Buy@@init
Morgan Stanley@Overweight@Equal-Weight@up
Evercore ISI Group@Hold@Buy@down
MKM Partners@Buy@Neutral@up
SunTrust Robinson Humphrey@Hold@Buy@down
Baird@Neutral@@main
Wolfe Research@Outperform@Peer Perform@up
Stifel Nicolaus@Hold@@main
Morgan Stanley@Overweight@@main
Baird@Neutral@@main
Morgan Stanley@Overweight@@main
Bernstein@Market Perform@Outperform@down
Barclays@Equal-Weight@Equal-Weight@main
Deutsche Bank@Hold@@main
Evercore ISI Group@In-Line@Underperform@up
Evercore ISI Group@Outperform@In-Line@up
Morgan Stanley@Equal-Weight@Overweight@down
Barclays@Equal-Weight@Equal-Weight@main
Morgan Stanley@Equal-Weight@Equal-Weight@main
Raymond James@Outperform@Market Perform@up
Raymond James@Outperform@Outperform@main
Morgan Stanley@Equal-Weight@Equal-Weight@main
Baird@Neutral@Neutral@main
Argus@Hold@Buy@down
Citigroup@Neutral@Buy@down
Evercore ISI Group@In-Line@Outperform@down
Wells Fargo@Market Perform@Market Perform@main
Citigroup@Neutral@@main
JP Morgan@Neutral@Overweight@down
Longbow Research@Neutral@Underperform@down
Morgan Stanley@Equal-Weight@@main
JP Morgan@Neutral@@main
RBC Capital@Outperform@@main
Wells Fargo@Market Perform@@main
Nomura@Buy@@main
Morgan Stanley@Equal-Weight@@main
Barclays@Equal-Weight@@main
Raymond James@Market Perform@Outperform@down
Morgan Stanley@Equal-Weight@@main
Berenberg@Hold@Buy@down
Stifel Nicolaus@Hold@@main
JP Morgan@Neutral@@main
Deutsche Bank@Hold@@main
CFRA@Hold@@main
Morgan Stanley@Equal-Weight@@main
Wells Fargo@Equal-Weight@@main
BMO Capital@Underperform@Market Perform@down
RBC Capital@Sector Perform@Outperform@down
Morgan Stanley@Equal-Weight@@main
Citigroup@Neutral@@main
Baird@Neutral@@main
SunTrust Robinson Humphrey@Hold@@main
UBS@Neutral@@main
Nomura Instinet@Buy@@main
Deutsche Bank@Hold@@main
BMO Capital@Underperform@@main
SunTrust Robinson Humphrey@Hold@@main
Barclays@Equal-Weight@@main
