Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@19@19@23@25
Avg. Estimate@-0.4@0.26@0.98@3.87
Low Estimate@-0.77@-0.17@0.07@2.32
High Estimate@0.06@0.7@2.6@5.81
Year Ago EPS@1.56@1.47@6@0.98
