Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@-0.4@0.26@0.98@3.87
7 Days Ago@-0.4@0.28@1@3.89
30 Days Ago@0.03@0.67@2.57@5.07
60 Days Ago@0.42@0.94@3.46@5.38
90 Days Ago@1.55@1.56@6.13@7.03
