Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@24@24@27@28
Avg. Estimate@588.14M@1.52B@6.11B@9.47B
Low Estimate@316M@714M@4.07B@7.41B
High Estimate@772.4M@2.03B@7.15B@12.85B
Year Ago Sales@3.15B@3.56B@12.07B@6.11B
