Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@16@16@20@21
Avg. Estimate@0.63@0.54@2.33@2.35
Low Estimate@0.6@0.5@2.18@2.08
High Estimate@0.69@0.59@2.42@2.66
Year Ago EPS@0.78@0.69@2.85@2.33
