OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
BERKSHIRE HATHAWAY INC@03/31/2020@325,634,818@0@0%@$11,061,815
VANGUARD GROUP INC@03/31/2020@58,048,191@1,921,362@3.423%@$1,971,897
BLACKROCK INC.@03/31/2020@40,643,729@133,244@0.329%@$1,380,667
STATE STREET CORP@03/31/2020@30,556,828@349,254@1.156%@$1,038,015
FRANKLIN RESOURCES INC@03/31/2020@21,527,997@1,642,137@8.258%@$731,306
