OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
PRIMECAP MANAGEMENT CO/CA/@03/31/2020@34,362,700@-2,801,807@-7.539%@$1,673,120
BERKSHIRE HATHAWAY INC@03/31/2020@22,157,608@218,966@0.998%@$1,078,854
VANGUARD GROUP INC@03/31/2020@20,283,794@31,673@0.156%@$987,618
BLACKROCK INC.@03/31/2020@14,827,351@-91,207@-0.611%@$721,944
ALTIMETER CAPITAL MANAGEMENT, LP@03/31/2020@10,791,309@-1,020,774@-8.642%@$525,429
