Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@13@16@16
Avg. Estimate@1.13B@3.89B@19.37B@31.66B
Low Estimate@680.87M@1.87B@14.71B@23.39B
High Estimate@1.84B@6.01B@23.26B@38.14B
Year Ago Sales@11.4B@11.38B@43.26B@19.37B
