Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@20@24@24
Avg. Estimate@1.29B@1.32B@5.43B@6.11B
Low Estimate@1.21B@1.25B@5.28B@5.49B
High Estimate@1.43B@1.46B@5.8B@6.95B
Year Ago Sales@1.2B@1.26B@4.95B@5.43B
