Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@2.58@2.58@10.91@11.69
7 Days Ago@2.58@2.58@10.91@11.69
30 Days Ago@2.7@2.78@11.01@11.91
60 Days Ago@2.74@2.79@11.04@11.96
90 Days Ago@2.75@2.8@11.04@12.15
