Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@21@21@25@25
Avg. Estimate@2.58@2.58@10.91@11.69
Low Estimate@2.33@2.36@10.44@8.13
High Estimate@3.02@2.96@11.99@14.73
Year Ago EPS@2.64@2.79@10.53@10.91
