Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@24@15@17@28
Avg. Estimate@2.67@1.85@8.41@9.26
Low Estimate@2.25@1.59@7.97@8.31
High Estimate@3@2.02@8.93@9.84
Year Ago EPS@2.69@1.73@8.19@8.41
