Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@22@14@23@23
Avg. Estimate@49.83B@38.74B@163.14B@173.37B
Low Estimate@47.61B@37.57B@160.99B@166B
High Estimate@51.14B@39.58B@164.52B@177.32B
Year Ago Sales@47.5B@N/A@152.7B@163.14B
