Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@2.67@1.85@8.41@9.26
7 Days Ago@2.7@1.85@8.53@9.27
30 Days Ago@2.8@1.88@8.67@9.37
60 Days Ago@2.85@1.88@8.72@9.38
90 Days Ago@2.82@1.89@8.71@9.39
