Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@29@29@32@30
Avg. Estimate@0.67@0.41@2.75@3.03
Low Estimate@0.63@0.22@2.59@2.71
High Estimate@0.71@0.72@3.13@3.95
Year Ago EPS@0.38@0.32@2.25@2.75
