Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.67@0.41@2.75@3.03
7 Days Ago@0.67@0.41@2.75@3.04
30 Days Ago@0.39@0.48@2.48@2.83
60 Days Ago@0.38@0.48@2.48@2.82
90 Days Ago@0.38@0.48@2.45@2.81
