Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@28@28@29@28
Avg. Estimate@1.68B@1.4B@7.15B@7.65B
Low Estimate@1.53B@1.09B@6.72B@7B
High Estimate@1.74B@1.8B@7.8B@9.26B
Year Ago Sales@1.21B@1.21B@6.39B@7.15B
