Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@16@16@30@30
Avg. Estimate@329.43M@934.95M@2.94B@4.89B
Low Estimate@295.92M@672.03M@2.33B@3.56B
High Estimate@365.34M@1.23B@3.63B@6.2B
Year Ago Sales@N/A@1.48B@5.04B@2.94B
