Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@1@1@2@1
Avg. Estimate@0.49@0.56@2.05@2.35
Low Estimate@0.49@0.56@1.86@2.35
High Estimate@0.49@0.56@2.24@2.35
Year Ago EPS@0.54@0.36@N/A@2.05
