Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@1@1@2@1
Avg. Estimate@7.84B@8.37B@31.43B@34.86B
Low Estimate@7.84B@8.37B@31.06B@34.86B
High Estimate@7.84B@8.37B@31.8B@34.86B
Year Ago Sales@7.42B@7.94B@30.4B@31.43B
