Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@13@16@16
Avg. Estimate@0.34@0.35@1.35@1.48
Low Estimate@0.26@0.31@1.19@1.34
High Estimate@0.4@0.39@1.47@1.6
Year Ago EPS@0.36@0.37@1.38@1.35
