Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.34@0.35@1.35@1.48
7 Days Ago@0.33@0.34@1.31@1.44
30 Days Ago@0.26@0.3@1.21@1.38
60 Days Ago@0.29@0.32@1.28@1.43
90 Days Ago@0.38@0.38@1.45@1.55
