Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@12@12@14@14
Avg. Estimate@1.43B@1.4B@5.49B@5.8B
Low Estimate@1.17B@1.25B@5B@5.42B
High Estimate@1.51B@1.48B@5.71B@6.05B
Year Ago Sales@1.37B@1.38B@5.33B@5.49B
