Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@18@27@26
Avg. Estimate@4.79B@7.14B@26.63B@37.23B
Low Estimate@2.77B@5.97B@22.12B@31.92B
High Estimate@6.04B@8.37B@30.03B@47.17B
Year Ago Sales@6.35B@6.3B@24.58B@26.63B
