Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@18@19@24
Avg. Estimate@-1.45@1.45@3.72@11.46
Low Estimate@-3.85@0.04@-0.5@4
High Estimate@0.57@2.95@7.83@21.65
Year Ago EPS@-1.12@1.86@0.2@3.72
