Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@2.73@2.72@11.48@18.09
7 Days Ago@2.73@2.72@11.54@17.99
30 Days Ago@2.94@2.9@12.89@18.97
60 Days Ago@3.04@2.99@13.43@19.38
90 Days Ago@3.17@3.25@14.06@19.99
