Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@23@22@26@28
Avg. Estimate@2.73@2.72@11.48@18.09
Low Estimate@2.15@1.82@9.32@10.52
High Estimate@3.27@3.53@13.39@22.83
Year Ago EPS@1.39@1.74@7.45@11.48
