Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@26@24@31@30
Avg. Estimate@11.62B@11.82B@47.39B@49.44B
Low Estimate@11.37B@11.54B@46.52B@46.87B
High Estimate@11.76B@12.12B@48.12B@50.99B
Year Ago Sales@11.35B@11.45B@45.76B@47.39B
