Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@13@13@13@18
Avg. Estimate@0.23@0.18@1.76@2.2
Low Estimate@-0.4@-0.62@0.31@0.93
High Estimate@0.6@0.9@3.12@3.8
Year Ago EPS@1.09@1.01@4.02@1.76
