Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.23@0.18@1.76@2.2
7 Days Ago@0.19@0.2@1.77@2.1
30 Days Ago@0.67@0.41@2.54@2.08
60 Days Ago@0.68@0.44@2.33@2.51
90 Days Ago@1.22@1.19@4.52@5.46
