Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@15@14@13@18
Avg. Estimate@17.48B@18.08B@65.97B@76.32B
Low Estimate@15.4B@16.32B@60.76B@73.12B
High Estimate@18.68B@19.05B@69.29B@80.72B
Year Ago Sales@10.98B@11.06B@45B@65.97B
