Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@1.37@1.7@7.27@9.78
7 Days Ago@1.37@1.7@7.27@9.79
30 Days Ago@1.45@1.77@7.57@9.81
60 Days Ago@1.68@1.9@8.08@10.06
90 Days Ago@2.09@2.22@9.07@10.91
