Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@42@40@48@49
Avg. Estimate@1.37@1.7@7.27@9.78
Low Estimate@0.97@1.29@5.1@7.88
High Estimate@1.71@2.01@8.74@11.21
Year Ago EPS@0.91@2.12@6.43@7.27
