Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@39@38@46@49
Avg. Estimate@17.17B@18.89B@77.12B@96.64B
Low Estimate@16.16B@17.58B@68.82B@89.8B
High Estimate@19.02B@21.23B@84.63B@105.21B
Year Ago Sales@16.89B@17.65B@70.7B@77.12B
