Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@20@20@22
Avg. Estimate@4.04@4.08@15.16@17.55
Low Estimate@3.74@2.87@14.54@13.12
High Estimate@4.89@5@16.05@20.1
Year Ago EPS@3.62@3.18@14.55@15.16
