Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@4.04@4.08@15.16@17.55
7 Days Ago@4.08@4.08@15.16@17.76
30 Days Ago@4.07@4.09@15.14@17.79
60 Days Ago@4.19@4.26@15.17@19.06
90 Days Ago@4.91@4.68@16.59@20.39
