Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@19@19@21@21
Avg. Estimate@2.66B@2.69B@9.93B@11.1B
Low Estimate@2.45B@2.45B@9.7B@9.3B
High Estimate@2.83B@3.17B@10.2B@12.32B
Year Ago Sales@2.36B@2.17B@9.65B@9.93B
