ActivePositions@Holders@Shares
Increased Positions@1,054@161,113,061
Decreased Positions@1,430@207,081,639
Held Positions@212@2,454,793,939
Total Institutional Shares@2,696@2,822,988,639
New Positions@143@23,969,609
Sold Out Positions@150@14,697,309
