Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@34@34@38@37
Avg. Estimate@1.1@1.12@4.78@4.86
Low Estimate@1.02@0.75@4.23@3.8
High Estimate@1.13@1.28@5.2@5.6
Year Ago EPS@1.06@1.42@4.87@4.78
