Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@36@36@40@39
Avg. Estimate@18.51B@17.85B@73.78B@74.29B
Low Estimate@18.26B@16.7B@71.31B@68.86B
High Estimate@18.73B@19.64B@77.35B@82B
Year Ago Sales@16.5B@19.19B@71.97B@73.78B
