OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@369,825,456@8,802,794@2.438%@$23,546,787
BLACKROCK INC.@03/31/2020@311,391,281@8,659,315@2.86%@$19,826,283
STATE STREET CORP@03/31/2020@192,537,623@-1,301,236@-0.671%@$12,258,870
CAPITAL INTERNATIONAL INVESTORS@03/31/2020@115,587,413@-26,935,505@-18.899%@$7,359,451
GEODE CAPITAL MANAGEMENT, LLC@03/31/2020@71,885,174@2,854,177@4.135%@$4,576,929
