OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@34,162,661@668,065@1.995%@$3,147,406
BLACKROCK INC.@03/31/2020@29,625,732@2,872,493@10.737%@$2,729,419
MASSACHUSETTS FINANCIAL SERVICES CO /MA/@03/31/2020@26,551,697@2,198,027@9.025%@$2,446,208
STATE STREET CORP@03/31/2020@12,351,292@-5,393@-0.044%@$1,137,925
PARNASSUS INVESTMENTS /CA@03/31/2020@8,858,534@296,088@3.458%@$816,137
