Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@14@14@14
Avg. Estimate@594.61M@646.17M@2.56B@2.75B
Low Estimate@585.21M@632.62M@2.54B@2.64B
High Estimate@615.44M@661.01M@2.58B@2.82B
Year Ago Sales@579.48M@576.37M@2.34B@2.56B
