Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.53@0.62@2.46@2.69
7 Days Ago@0.53@0.62@2.46@2.69
30 Days Ago@0.53@0.63@2.46@2.69
60 Days Ago@0.59@0.62@2.41@2.65
90 Days Ago@0.6@0.63@2.45@2.66
