Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@14@14@14
Avg. Estimate@0.53@0.62@2.46@2.69
Low Estimate@0.5@0.59@2.41@2.61
High Estimate@0.62@0.66@2.5@2.79
Year Ago EPS@0.57@0.54@2.2@2.46
