Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@20@20@20
Avg. Estimate@0.5@0.49@2.18@2.17
Low Estimate@0.38@0.28@2.06@1.85
High Estimate@0.56@0.6@2.24@2.52
Year Ago EPS@0.57@0.52@2.43@2.18
