Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.5@0.49@2.18@2.17
7 Days Ago@0.5@0.49@2.18@2.17
30 Days Ago@0.5@0.49@2.18@2.17
60 Days Ago@0.55@0.56@2.22@2.39
90 Days Ago@0.65@0.65@2.32@2.66
