Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@20@20@21@21
Avg. Estimate@510.95M@510.96M@2.16B@2.14B
Low Estimate@507.6M@459M@2.15B@1.98B
High Estimate@526.51M@535.7M@2.17B@2.26B
Year Ago Sales@556.54M@533.04M@2.31B@2.16B
