Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@30@30@35@35
Avg. Estimate@1.97@2.16@8.12@9.88
Low Estimate@1.93@1.66@6.99@8.22
High Estimate@2.17@2.69@9.31@11.98
Year Ago EPS@1.24@1.78@5.79@8.12
