Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@31@31@37@37
Avg. Estimate@3.65B@3.95B@14.64B@17.2B
Low Estimate@3.6B@3.44B@13.63B@15.6B
High Estimate@3.67B@4.39B@15.58B@19.19B
Year Ago Sales@N/A@3.01B@10.92B@14.64B
