Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@18@22@24
Avg. Estimate@1.38B@1.41B@5.76B@6.64B
Low Estimate@1.2B@1.3B@5.5B@5.69B
High Estimate@1.48B@1.51B@6.95B@7.94B
Year Ago Sales@941.28M@949.83M@4.01B@5.76B
