Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@19@23@24
Avg. Estimate@2.04@2.09@8.91@10.97
Low Estimate@1.51@1.45@6.92@8.45
High Estimate@2.35@2.28@12.33@14.63
Year Ago EPS@1.26@1.23@5.33@8.91
