Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@18@15@20@20
Avg. Estimate@0.6@0.61@3@2.78
Low Estimate@0.56@0.56@2.95@2.64
High Estimate@0.63@0.66@3.07@2.98
Year Ago EPS@0.63@0.71@2.84@3
