Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@14@10@17@17
Avg. Estimate@910.91M@917.17M@4.04B@3.9B
Low Estimate@897M@884M@4.02B@3.81B
High Estimate@918.3M@945.09M@4.04B@4.03B
Year Ago Sales@980.4M@N/A@3.77B@4.04B
