OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
BLACKROCK INC.@03/31/2020@36,099,603@-576,713@-1.572%@$2,899,520
VANGUARD GROUP INC@03/31/2020@27,899,774@850,666@3.145%@$2,240,910
STATE STREET CORP@03/31/2020@14,171,860@-126,925@-0.888%@$1,138,284
BANK OF AMERICA CORP /DE/@03/31/2020@9,901,522@-281,188@-2.761%@$795,290
WELLS FARGO & COMPANY/MN@03/31/2020@8,812,465@-1,035,983@-10.519%@$707,817
