OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@39,207,780@981,452@2.567%@$6,318,334
BLACKROCK INC.@03/31/2020@31,233,940@-218,447@-0.695%@$5,033,349
STATE STREET CORP@03/31/2020@19,178,132@-168,641@-0.872%@$3,090,556
BANK OF AMERICA CORP /DE/@03/31/2020@12,874,593@1,463,785@12.828%@$2,074,741
MORGAN STANLEY@03/31/2020@11,440,067@702,522@6.543%@$1,843,567
