Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@17@15@18@18
Avg. Estimate@0.96@1.15@5.74@5.71
Low Estimate@0.9@0.71@5.68@5.23
High Estimate@1.08@1.28@5.86@6.5
Year Ago EPS@1.14@1.34@5.45@5.74
