Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@0.96@1.15@5.74@5.71
7 Days Ago@0.96@1.15@5.74@5.71
30 Days Ago@0.96@1.16@5.74@5.75
60 Days Ago@1.26@1.37@6.04@6.6
90 Days Ago@1.38@1.49@6.18@6.88
