Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@12@10@15@15
Avg. Estimate@3.3B@3.34B@14.52B@14.5B
Low Estimate@3.14B@3.21B@14.35B@13.88B
High Estimate@3.37B@3.58B@14.6B@15.44B
Year Ago Sales@3.5B@3.5B@14.18B@14.52B
