Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
Current Estimate@8.35@10.89@42.11@55.19
7 Days Ago@8.35@10.89@42.11@55.19
30 Days Ago@8.21@10.87@41.81@55.01
60 Days Ago@11@12.44@48.32@58.3
90 Days Ago@13.22@14.03@53.73@62.64
