Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@31@30@34@37
Avg. Estimate@8.35@10.89@42.11@55.19
Low Estimate@5.73@8.95@33.91@41.92
High Estimate@10.32@13.5@49.17@66.56
Year Ago EPS@14.21@10.12@49.16@42.11
