ActivePositions@Holders@Shares
Increased Positions@1,232@9,091,152
Decreased Positions@1,214@12,891,767
Held Positions@309@206,394,421
Total Institutional Shares@2,755@228,377,340
New Positions@133@1,138,969
Sold Out Positions@136@649,056
