Row_Name@Current_Quarter@Next_Quarter@Current_Year@Next_Year
No. of Analysts@29@29@32@32
Avg. Estimate@37.25B@41.35B@169.31B@204.06B
Low Estimate@35.67B@38.87B@162.5B@190.09B
High Estimate@40.66B@45.88B@179.5B@219.5B
Year Ago Sales@38.94B@40.5B@161.86B@169.31B
