OWNER_NAME@DATE@SHARES_HELD@CHANGE(Shares)@CHANGE(%)@MARKET_VALUE
VANGUARD GROUP INC@03/31/2020@90,060,274@2,344,351@2.673%@$4,836,237
BLACKROCK INC.@03/31/2020@78,256,506@-549,338@-0.697%@$4,202,374
PRIMECAP MANAGEMENT CO/CA/@03/31/2020@53,467,409@-2,409,880@-4.313%@$2,871,200
FMR LLC@03/31/2020@53,258,999@8,188,628@18.169%@$2,860,008
STATE STREET CORP@03/31/2020@47,878,360@132,089@0.277%@$2,571,068
